"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\Chris\Documents\FlightSystems\KraftPad\lib\KraftKontrol\src\utils\KraftKommunikation\kraft_kommunication.cpp", "C++", 126, 54, 117, 297
"c:\Users\Chris\Documents\FlightSystems\KraftPad\lib\KraftKontrol\src\utils\Simple-Schedule\simple_scheduler.cpp", "C++", 140, 6, 60, 206
"c:\Users\Chris\Documents\FlightSystems\KraftPad\lib\KraftKontrol\src\utils\Simple-Schedule\task_autorun_class.cpp", "C++", 72, 12, 50, 134
"c:\Users\Chris\Documents\FlightSystems\KraftPad\lib\KraftKontrol\src\utils\value_error.cpp", "C++", 5, 0, 3, 8
"Total", "-", 343, 72, 230, 645
